"Gene";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"1";"ENSMUSG00000000001";1221.83463720212;-0.156680050518544;0.103507517510045;0.13010017684041;0.5675215674312
"2";"ENSMUSG00000000003";0;NA;NA;NA;NA
"3";"ENSMUSG00000000028";49.9167043144615;-0.312697436978954;0.224039670830268;0.162797770155;0.623676856164958
"4";"ENSMUSG00000000037";36.9978484979755;-0.505744012129661;0.326586159816634;0.121483293700128;0.548204001648013
"5";"ENSMUSG00000000049";4.88686660323321;0.456005609269496;0.69269667850493;0.510342237802796;0.904700227189972
"6";"ENSMUSG00000000056";1592.5420304117;0.0898753403171877;0.114140925115333;0.431043768779777;0.863663565964598
"7";"ENSMUSG00000000058";845.533588286281;0.0102983872952024;0.0931323223569597;0.911950982410205;0.991280366876552
"8";"ENSMUSG00000000078";1271.62680250846;-0.0661189850367985;0.0795388366946925;0.405815890146708;0.854390760044698
"9";"ENSMUSG00000000085";1084.22865574895;0.239701120517509;0.11064682665333;0.0302835078704822;0.262377269771134
"10";"ENSMUSG00000000088";3229.14887748085;0.142234668014237;0.0951030887877361;0.134762067562733;0.57760270968159
"11";"ENSMUSG00000000093";27.804593298678;-0.00442126063251823;0.270536998124744;0.986961123240459;0.998792591962626
"12";"ENSMUSG00000000094";10.1109675088744;-0.178616186567251;0.402063552662362;0.656862829320081;0.952959480623311
"13";"ENSMUSG00000000103";0;NA;NA;NA;NA
"14";"ENSMUSG00000000120";444.424013119553;0.565707773289072;0.199481508449073;0.00456980689615608;0.0892535973122467
"15";"ENSMUSG00000000125";108.182650625097;-0.00858444259395094;0.335856215932978;0.979608391436748;0.99832526885738
"16";"ENSMUSG00000000126";153.564904722556;-0.103285004032326;0.316197539996874;0.743934828243169;0.966648588923637
"17";"ENSMUSG00000000127";505.556612439563;0.0532749283847568;0.0910598536584903;0.558511431715027;0.921238467702956
"18";"ENSMUSG00000000131";2862.36522090628;0.129388432508217;0.0830908400611938;0.119424789809506;0.543292069418726
"19";"ENSMUSG00000000134";960.797514650681;0.27358440632717;0.117643201955207;0.0200429064143969;0.211094538668387
"20";"ENSMUSG00000000142";519.320113863526;-0.0927864961122965;0.14465053154526;0.52122850349617;0.91025903268173
"21";"ENSMUSG00000000148";440.371411253567;0.00311440210767123;0.126567993021317;0.980368791845647;0.998423861629563
"22";"ENSMUSG00000000149";3307.53867540615;-0.0968165051628926;0.113117832141701;0.392058216920521;0.847526244072763
"23";"ENSMUSG00000000154";11.8537071477767;-0.438883466931788;0.423193391003588;0.299700705974988;0.78417660101125
"24";"ENSMUSG00000000157";2.80427525733652;-2.34971241244315;0.86989900826686;0.00691038192773136;NA
"25";"ENSMUSG00000000159";13.1246119154865;-1.13990279400967;0.530105447079203;0.0315289498364993;0.266453814136314
"26";"ENSMUSG00000000167";54.3774530728258;-0.266192341849218;0.260803250717731;0.30741392372706;0.790301875953451
"27";"ENSMUSG00000000168";3254.03065546258;0.0260539126084587;0.0719627800598795;0.717316867222024;0.964620389413502
"28";"ENSMUSG00000000171";2210.65282180717;0.0272563910821213;0.0497918160316052;0.584099113515264;0.929425048756602
"29";"ENSMUSG00000000182";4.64279064539665;-0.217170816837298;0.7105941910052;0.759895040836239;0.97056181377831
"30";"ENSMUSG00000000183";1.57114132452825;-0.634937870237432;1.00409211386715;0.527158053781869;NA
"31";"ENSMUSG00000000184";2285.31781416784;-0.350317061219547;0.261736708696411;0.180755311333877;0.653401467906624
"32";"ENSMUSG00000000194";1696.77811281788;0.0158211205218998;0.172979020926129;0.927124978773962;0.992833265414843
"33";"ENSMUSG00000000197";5159.05158618586;0.160625494238949;0.0802268215740729;0.0452694544829058;0.332570236201188
"34";"ENSMUSG00000000202";191.454181577174;0.282039465410954;0.238794883705314;0.237564949010317;0.724072166172316
"35";"ENSMUSG00000000204";1.35488552604812;-0.769976790618512;1.00704359496632;0.444514940008862;NA
"36";"ENSMUSG00000000214";94.3746825758619;0.689938341952373;0.28196894332156;0.0144107067459762;0.173477807100108
"37";"ENSMUSG00000000215";12.0604609936576;-2.91677706091362;1.12838454562743;0.00974032763247641;0.140075235108966
"38";"ENSMUSG00000000216";2.6032452267609;0.570558101754546;0.967022233326841;0.555180261240372;NA
"39";"ENSMUSG00000000223";2370.68270448645;0.0794917596108858;0.0762348466769759;0.297077018152526;0.781143746873041
"40";"ENSMUSG00000000244";5.56570587122246;-0.748606266787896;0.639514273357269;0.241765345883097;0.729204868490883
"41";"ENSMUSG00000000247";491.02169905988;-0.154184692443584;0.313342104011952;0.622673371178919;0.943517145416964
"42";"ENSMUSG00000000248";0.69835552093157;1.38057245723709;1.78407932886232;0.439031876096083;NA
"43";"ENSMUSG00000000253";1114.50477603841;0.238823190567989;0.0792989526157256;0.00259805013310849;0.0628405615644007
"44";"ENSMUSG00000000263";76.7852749759725;-0.313942442141394;0.219093812830759;0.151882610975142;0.608701546910744
"45";"ENSMUSG00000000266";1553.0744949237;0.229581358374678;0.0815182154301927;0.00485772962429919;0.0926933043435371
"46";"ENSMUSG00000000275";209.625754259409;-0.0927707954491129;0.101499389314062;0.360715015056085;0.829176932321724
"47";"ENSMUSG00000000276";3091.65750394194;0.0689977355668608;0.0722213664486093;0.33939335851131;0.813680640644345
"48";"ENSMUSG00000000278";349.789683046482;-0.219738220309892;0.100324963467973;0.0285050494713786;0.25577132531392
